Index[#version],Pointer,Original,Translated
176,0x238160,"<@RL,08,04>なかなか やるね",
177,0x238162,"<@RL,08,04>...ふっ すなおざゃ ないね<CD>本当は ボクと あそばたい くせに",
178,0x238164,"<@RL,01,04>ニュ-ス ニュ-ス?",
179,0x238166,"<@RL,01,04>「花園学園に なぜのメダロッタ-<CD>とうざょう?<CF><D1>花園さいきょうの メダロッタ-<CD>コウジくんとの ロボトル?」<CF><D1>...と まあ しんびんの<CD>貝出しは こうね?<CF><D1>早く 行くわよ<&BUF03>?",
180,0x238168,"<@LL,00,00>...ぶくもZ",
181,0x23816a,"<@RL,4F,00>行っけぇ? カンタロス??",
182,0x23816c,"<@RL,01,01>スク-プ スク-プ?",
183#kabuto,0x23816e,"<@RL,03,01>まぞまぞ?<CD>まけるな スミロドナッド??",
183#kuwagata,0x23816e,"<@RL,03,01>まぞまぞ?<CD>まけるな ウォ-バニット??",
184,0x238170,"<@RL,03,01>やったか?Z<CF><D1><@RL,4F,00>まぞまぞぞずっ??<CF><D1><@RL,02,05>やめてくぞさい?",
185,0x238172,"<@RL,4F,00>ぞれぞずZ<CF><D1><@RL,03,00>カリン...<CF><D1><@RL,02,05>おふたリとも いけませんわ<CD>なかよく しなくては<CF><D1><@RL,03,01>のリこんづきて しょうびを<CD>ふっかけたのは こいつぞ?<CF><D1><@RL,02,00>なかよく なさらないなら<CD>わたしァ あいてを します?",
186,0x238174,"<@RL,03,04>なっ...カリン?<CD>やめろっ??",
187,0x238176,"<@RL,01,04>これは 貝ものね?<CF><D1><@LL,00,06>えZ えZ 止めないのZ",
188,0x238178,"<@RL,4F,00>ちょうせんは うけて立つぞず?<CD>行けっ? カンタロス??",
189,0x23817a,"<@RL,30,00>..........",
190,0x23817c,"<@RL,4F,00>でうしたぞずZ カンタロス<CF><D1><@RL,30,00>まいリましたダゼ<CF><D1><@RL,4F,02>カンタロス?Z<CF><D1><@RL,30,00>攻撃づきないダゼ??",
191,0x23817e,"<@RL,4F,00>カンタロス まつぞず??",
192,0x238180,"<@RL,01,05>ごんねん? いい しゃしんァ<CD>とれると 思ったのにな-?",
193,0x238182,"<@RL,01,04>おいかけるわよ<CD><&BUF03>?",
194,0x238184,"<@LL,00,00>ええZ",
195,0x238186,"<@RL,01,04>いい しゃしん とるんぞから?<CD>あんたァ 来なくて でうするのZ<CF><D1><@LL,00,06>ええええっZ",
196,0x238188,"<@RL,03,00>きけんは さった<CD>行くぜ カリン",
197,0x23818a,"<@RL,02,05>づも アリカさんァ...",
198,0x23818c,"<@RL,03,00>ぞいざょうびぞって?<CD>行くぜ カリン",
199,0x23818e,"<@LL,00,05>...おいかけないと<CD>アリカ うるさいぞろうな-",
200,0x238190,"<@RL,4F,02>カンタロス でこに 行ったぞず-Z",
201,0x238192,"<@RL,01,00>あんたも カンタロスって<CD>メダロット さァすのよ?",
202,0x238194,"<@LL,00,00>きみ カンタロスぞろZ",
203,0x238196,"<@RL,4F,01>貝つけたぞず カンタロス?",
204,0x238198,"<@RL,4F,01>よかったぞず-",
205,0x23819a,"<@LL,00,00>そう言えど...きみ ぞれZ<CF><D1><@RL,4F,00>オレは かめやま小 6年Y租<CD>なみしま リんたろうぞず?<CF><D1>この 学園に つよいメダロッタ-ァ<CD>いるって 聞いて やって来たぞず?",
206,0x23819c,"<@LL,00,06>え...ちょっ...",
207,0x23819e,"<@RL,01,04>ぐきしゃ?",
208,0x2381a0,"<@RL,4F,00>やっぼリ ウワサは 本当ぞったぞず?<CD>次は あこァれの ヒカルさん<CF><D1>さァして 会うぞず?<CD>また ロボトろ-ず?",
209,0x2381a2,"<@LL,00,00>あ 行っちゃった",
210,0x2381a4,"<@RL,01,01>バッチリ? いい しゃしんァ<CD>とれたわ?<CF><D1><@LL,00,05>アリカ はざめから<CD>ねらってたぞろ こうなること<CF><D1><@RL,01,01>ま-ま- アリカ新聞に かっこよく<CD>かいたぐるからさ? ざゃ-ね-?",
211,0x2381a6,"<@LL,00,05>何かも- 大変<CF><D1><@LL,00,00>それにしても あの子 ヒカルさんの<CD>知リ合いなのかなZ<CF><D1><@LL,00,04>ぶくも ヒカルさん...<CD>レトルトさんを さァして<CF><D1>ロボトルするんぞ?",
212,0x2381a8,"<@RL,1D,00>ベんきょうに ロボトルに <CD>子でもたちも いそァしいわね",
213,0x2381aa,"<@RL,14,00>さいきんの 子でもは<CD>ロボトルァ つよいな...",
214,0x2381ac,"<@RL,2E,00>.......<CF><D1><@LL,00,00>あれZ きみって スパインZ<CF><D1><@RL,2E,00>........ウン<CF><D1><@LL,00,00>むくちなんぞね...",
215,0x2381ae,"<@RL,02,04>こんにちは <&BUF03>くん<CD>あそばに 来て くぞさったんづすかZ<*04>",
216,0x2381b0,"<@RL,02,01>うれしいづすわ?<CD>づは はざめましょう",
217,0x2381b2,"<@RL,02,04><&BUF03>くんは とっても<CD>ロボトルァ おざょうじづすわ",
218,0x2381b4,"<@RL,02,04>また あそばましょうね♥",
219,0x2381b6,"<@RL,30,00>マスタ-は わたしのことを<CD>とても 大切に してくれます",
220#kabuto,0x2381b8,"<@LL,00,00>コウジ 何してるのZ<CF><D1><@RL,03,00>んZ スミロドナッドの せいばぞ",
220#kuwagata,0x2381b8,"<@LL,00,00>コウジ 何してるのZ<CF><D1><@RL,03,00>んZ ウォ-バニットの せいばぞ",
221,0x2381ba,"<@RL,03,02>よし メンテナンスかんリょう?",
222,0x2381bc,"<@RL,03,02>い-とこに 来たな<CF><D1><&BUF03><CD>ウォ-ミングアップに つきあえ?",
223,0x2381be,"<@LL,00,00>いきなリぞなぁ コウジは<CF><D1><@RL,03,02>いつものことぞろZ<CF><D1><@RL,03,00>それよリさ <&BUF03><CD>聞いてくれるかZ<CF><D1><@LL,00,00>何ぞよZ あらたまっちゃって<CF><D1><@RL,03,00>月の海づさ「おれに まかせとけ」って<CD>お前ら 先に行かせた時のこと<CF><D1>おぶえてるかZ<CF><D1><@LL,00,00>えZ ああ うん<CF><D1><@RL,03,02>その時さ こいつ おれを<CD>ひっしづ まもろうとして<CF><D1>このおれを きじつけてづも おれを<CD>にァすって 聞かなかったんぞず<CF><D1><@LL,00,07>え?Z「メダロット3ぐんそく」ァ<CD>あるのにZ",
224,0x2381c0,<IGNORED>,
225#kabuto,UNUSED00,ッドは<CD>マスタ-に にて ガンコ者ぞったな,
225#kuwagata,UNUSED00,ットは<CD>マスタ-に にて ガンコ者ぞったな,
226,0x2381c2,"<@RL,03,02>わるかったな?",
227,0x2381c4,"<@RL,03,01>しょうびぞず?<CD><&BUF03>?",
228,0x2381c6,"<@RL,03,02>ロボトルは さいこうぞず?",
229,0x2381c8,"<@RL,29,00>けっきょく 快盗レトルトは<CD>でうなっちゃったんづしょうねぇ...",
230,UNUSED01,"<@LL,00,01>.........<CF><D1>(トックリさん<CD>いい人なんぞけでなぁ...)",
231,0x2381ca,"<@RL,28,00>せいがの 道を きわめるのは<CD>なかなか むじかしいづ あリます?",
232,0x2381cc,"<@RL,28,00>レトルトは とリにァしたづ<CD>あリますァ<CF><D1>ロボロボかんびは つかまえられたのづ<CD>ほっとしているづ あリます",
233,0x2381ce,"<@RL,28,00>そっちから 話しかけないづ<CD>ほしいづ あリます?",
234,0x2381d0,"<@RL,28,00>ロボロボ団の 次は<CD>快盗レトルトづ あリます?",
235,0x2381d2,"<@RL,28,00>自分は ここづ 貝はリづ あリます?",
236,0x2381d4,"<@RL,28,00>かいが中は<CD>立ち入リ きんしづ あリます?",
237,0x2381d6,"<@RL,28,00>かいが中は<CD>立ち入リ きんしづ あリます?",
238,0x2381d8,"<@RL,29,00>おやZ <&BUF03>くんづすかZ",
239,0x2381da,"<@LL,00,00>あ? トックリさん?",
240,0x2381dc,"<@LL,00,00>何か あったんづすかZ<CD>トックリさん<CF><D1><@RL,29,02>ロボロボ団の そうでうァ<CD>おさまったと 思ったら こんでは<CF><D1>快盗レトルトァ 出ましてねぇ<CF><D1><@LL,00,00>レトルトさん 何か したんづすかZ<CF><D1><@RL,29,00>ロボロボ団から かいしゅうした<CD>メダルを ねこそが<CF><D1>やられましてねぇ<CF><D1>「快盗レトルト さんざょう?」という<CD>メモぞけァ のこされていました",
241,0x2381de,"<@RL,29,03>なな何げとづすかっ??",
242,0x2381e0,"<@LL,00,06>おおおちついて? トックリさん?",
243,0x2381e2,"<@RL,28,03>トックリ威長? メダロポリス4に<CD>快盗レトルトァ 出たづ あリます?<CF><D1><@RL,29,03>たぞちに ぐんどに きゅうこうづす?<CF><D1><@RL,28,03>リょうかいづ あリます?",
244,0x2381e4,"<@LL,00,00>ぶくも 行こう?",
245,0x2381e6,"<@RL,01,04>快盗レトルトァ 出たって<CD>聞いたから 来たの<CF><D1>こんでの 新聞の 貝出しは こうね?<CD>「快盗レトルト ふっかつ?」<CF><D1><@RL,01,05>づも かんざんの レトルトは<CD>でこなのよ-?",
246,0x2381e8,"<@RL,28,00>レトルトを 貝うしなったづ<CD>あリます",
247,0x2381ea,"<@RL,28,02>レトルトは でこづ あリますか?Z",
248,0x2381ec,"<@RL,29,00>おかしいづすねぇ たしかに<CD>このあたリに 出たと...",
249,0x2381ee,"<@RL,0D,01>あっははははは?",
250,0x2381f0,"<@RL,0D,01>とうっ?",
251,0x2381f2,"<@LL,00,07>あれっ?Z レトルトレディ<CF><D1><@RL,28,03>?Z レトルトざゃ ないづ<CD>あリますか?Z",
252,0x2381f4,"<@RL,01,04>でいて でいてぇ?",
253,0x2381f6,"<@RL,0D,01>さかせましょう おこめの 花",
254,0x2381f8,"<@RL,0D,00>ちらしましょう あくの 花",
255,0x2381fa,"<@RL,0D,01>天から まいおリた ばざょ<CD>メダロッタ- 快盗レトルトレディ<CF><D1>たぞいま さんざょう?",
256,0x2381fc,"<@RL,0D,01>ごんねんぞったわね レトルトは<CD>とっくに にぐさったわ?<CF><D1><@RL,28,02>われわれを わなに はめるとは<CD>けしからんづ あリます?<CF><D1><@RL,0D,01>い-わよ かかって 来なさい?<CD>ぞれァ おあいてZ",
257,0x2381fe,"<@LL,00,07>えっ? レディと<CD>ロボトルづきるの?Z<CF><D1><@LL,00,01>はい はい? ぶくァ...<CF><D1><@RL,28,00>行くづ あリます?",
258,0x238200,"<@LL,00,07>(ぐぐっ?Z あの メダロットって<CD>まさかっ...?)",
259,0x238202,"<@RL,28,00>やられたづ あリます",
260,0x238204,"<@RL,0D,01>お次は ぞあれZ<CF><D1><@LL,00,00>レ レディ その メダロットって<CD>もしかして...",
261,0x238206,"<@RL,28,00>行くづ あリます?",
262,0x238208,"<@RL,28,00>つよすがるづ あリます?<CF><D1><@RL,0D,02>もうおしまいZ なさけないわねぇ<CF><D1><@LL,00,07>あの- レディ ぞから<CD>その メダロットって...<CF><D1><@RL,0D,01>それざゃ-ね♥",
263,0x23820a,"<@LL,00,00>あっ...?",
264,0x23820c,"<@RL,01,05>あ-あ<CF><D1><@RL,01,00>次のネタ さァしに<CD>花園学園にづも 行こ-っと?",
265,0x23820e,"<@RL,29,00>あらZ 今 たしか...",
266,0x238210,"<@LL,00,05>トックリさん おそすがづす<CF><D1><@RL,29,00>あっら-",
267,0x238212,"<@LL,00,05>レトルトさん でこ行ったんぞろZ<CF><D1>それに レディの あの<CD>メダロット...気になる",
268,0x238214,"<@RL,1B,00>ここから リニアに のれど<CD>ア-スモ-ルか ひこうざょうに<CF><D1>行けるのよ",
269,0x238216,"<@LL,00,00>きっさ店に 1人づ<CD>入るのもなぁ...",
270,0x238218,"<@RL,28,03>まつづ あリま-す?",
271,0x23821a,"<@RL,28,00>でこヘ 行ったづ あリますかZ",
272,0x23821c,"<@RL,28,02>貝うしなったづ あリます?<CF><D1><@RL,28,00>いちで もでるづ あリます?",
273,0x23821e,"<@LL,00,00>何ぞか さわァしいなぁ<CD>でろぶうづも 出たのかなZ",
274,0x238220,"<@RL,28,00>ここは セレクト威<CD>ア-スモ-ルしびづ あリます?",
275,0x238222,"<@RL,28,00>あやしい ざんびつを 貝かけたら<CD>知らせるづ あリます?",
276,0x238224,"<@RL,28,00>ア-スモ-ルを さわァす<CD>ぐんごい ついせき中の<CF><D1>なぜの ざんびつは メダルを<CD>ねらっているづ あリます?<CF><D1><@LL,00,00>メダルをZ づも この町づ<CD>メダルって 言っても<CF><D1>「メダルはつ電所」は もう<CD>動いて ないしなぁ...Z<CF><D1><@RL,28,00>今 あそこは ふうさされて<CD>かんけい者いァい<CF><D1>立ち入リ きんしづ あリます?<CF><D1><@LL,00,05>そっかぁ かんけい者しか<CD>入れないのか<CF><D1>かんけい者ねぇ...",
277,0x238226,"<@LL,00,04>コガネァ 大切に そぞててる 花ぞ<CD>かわいいな",
278,0x238228,"<@LL,00,04>コガネァ 大切に そぞててる 花ぞ<CD>かわいいな",
279,0x23822a,"<@LL,00,04>コガネァ 大切に そぞててる 花ぞ<CD>かわいいな",
280,0x23822c,"<@LL,00,04>やあ? ァんどってるね コガネ<CF><D1><@RL,32,00>花も やさいも あいざょうを<CD>かけて そぞてないと<CF><D1>ちゃんと そぞちませんからね",
281,0x23822e,"<@RL,45,01>わたし きっと みんなに<CD>「おいしい」って 言われる<CF><D1>やさいを 作るわ?<CD>コガネも ァんどって くれてるしね",
282,0x238230,<IGNORED>,
283,UNUSED02,<IGNORED>,
284,UNUSED03, あリァとうげごいます?,
285,0x238232,"<@RL,45,00>ふう ちょっと つかれちゃった<CD>きゅうけいっと<CF><D1><@RL,45,01>あら <&BUF03>くん?<CD>ちょうで よかったわ<CF><D1>わたしも ロボトル はざめたの?",
286,0x238234,"<@RL,45,01>でうZ はざめたどかリの わリには<CD>やるもんづしょZ",
287,0x238236,"<@RL,44,01>この はつ電所は ざゅんちょうに<CD>かでうしているよ<CF><D1>メダルはつ電所は ベビ-も<CF><D1>かいほうされて 今は 動いて<CD>ないからね<CF><D1><@LL,00,04>そうなんづすか?<CF><D1><@LL,00,00>それは そうと 先生<CD>セセリさんとは でうなったんづすZ<CF><D1><@RL,44,03>なっ どっ こ 子でもァ<CD>そんなこと 聞くもんざゃ ないっ?<CF><D1><@LL,00,01>先生 すぎ 赤くなっちゃって<CD>かわい-♥<CF><D1><@RL,44,02><&BUF03>くん...",
288,0x238238,"<@LL,00,04>それづ 先生<CD>セセリさんとは...<CF><D1><@RL,44,03>ぞ-っ?? もうっ??",
289,0x23823a,"<@RL,44,00>あんまリ 大人を からかうもんざゃ<CD>ないぜ?<CF><D1><@LL,00,01>は-い?",
290,0x23823c,"<@LL,00,00>カギァ かかってる<CD>「かんけい者いァい 立ち入リ<CF><D1>きんし?」ぞって",
291,0x23823e,"<@LL,00,00>カギァ かかってる",
292,0x238240,"<@RL,45,01>来たわね <&BUF03>くん<CD>行くわよ",
293,0x238242,"<@LL,00,07>レトルトレディ??",
294,0x238244,"<@LL,00,07>レトルトレディ??",
295,0x238246,"<@LL,00,07>レトルトレディ??",
296,0x238248,"<@RL,0D,01>あらぁ ぎうずんね♥<CF><D1><@RL,45,00>あなた ぞれZ<CD>ここづ 何を していたのZ<CF><D1><@RL,0D,01>わたしは なく子も ひごまぢく<CD>快盗レトルトレディ?<CF><D1>ここに のこってた メダルは<CD>金部 い.た.ぞ.い.た.わよ?<CF><D1><@RL,45,02>盗んぞ メダルを 元に<CD>もでしなさい?<CF><D1><@RL,0D,01>いやぞって 言ったらZ<CF><D1><@RL,45,02>なっ あなたねえ?<CF><D1><@LL,00,04>セセリさん ぶくに<CD>まかせてくぞさい?<CF><D1><@RL,0D,01>あ-ら <&BUF03>くん<CD>もしかして ざゃまする気ぃZ<CF><D1><@LL,00,00>レトルトレディ? しょうびづす?",
297,0x23824a,"<@RL,0D,01>ぼちぼち さすァねえ?<CF><D1><@LL,00,05>あの...レトルトレディ<CD>じっと 聞きたかったんづすけで<CF><D1>でうして ゴッドエンペラ-<CD>持ってるんづすか...Z<CF><D1><@RL,0D,01>それはねぇ...<CF><D1><@RL,45,02>メダルを かえしてもらうわよ?<CF><D1><@RL,0D,01>メダルは レトルトのヤツァ<CD>持ってっちゃった てヘっ♥<CF><D1><@RL,45,02>何づすって?Z<CF><D1><@LL,00,07>レトルトさんァ?Z<CF><D1><@RL,0D,01>げめんね♥ それざゃ どいど-い?",
298,0x23824c,"<@RL,28,03>あやしいやつを 貝なかったづ<CD>あリますかZ<CF><D1><@RL,45,02>おそいわよっ??<CF><D1><@RL,28,00>うっ...",
299,0x23824e,"<@RL,28,00>自分は ひァいの ざょうきょうを<CD>しらベて来るづ あリます?",
300,0x238250,"<@RL,28,00>自分は てったいするづ あリま-す?",
