Index[#version],Pointer[#version|],Original,Translated
222#kabuto,0x924d0,@0x924a0,@0x924a0
222#kuwagata,0x924d2,@0x924a2,@0x924a2
223#kabuto,0x924d2,@0x924a0,@0x924a0
223#kuwagata,0x924d4,@0x924a2,@0x924a2
224#kabuto,0x924d4,@0x924a0,@0x924a0
224#kuwagata,0x924d6,@0x924a2,@0x924a2
225#kabuto,0x924d6,@0x924a0,@0x924a0
225#kuwagata,0x924d8,@0x924a2,@0x924a2
226#kabuto,0x924d8,@0x924a0,@0x924a0
226#kuwagata,0x924da,@0x924a2,@0x924a2
227#kabuto,0x924da,@0x924a0,@0x924a0
227#kuwagata,0x924dc,@0x924a2,@0x924a2
228#kabuto,0x924dc,@0x924a0,@0x924a0
228#kuwagata,0x924de,@0x924a2,@0x924a2
229#kabuto,0x924de,@0x924a0,@0x924a0
229#kuwagata,0x924e0,@0x924a2,@0x924a2
230#kabuto,0x924e0,@0x924a0,@0x924a0
230#kuwagata,0x924e2,@0x924a2,@0x924a2
231#kabuto,0x924e2,@0x924a0,@0x924a0
231#kuwagata,0x924e4,@0x924a2,@0x924a2
232#kabuto,0x924e4,@0x924a0,@0x924a0
232#kuwagata,0x924e6,@0x924a2,@0x924a2
233#kabuto,0x924e6,@0x924a0,@0x924a0
233#kuwagata,0x924e8,@0x924a2,@0x924a2
234#kabuto,0x924e8,@0x924a0,@0x924a0
234#kuwagata,0x924ea,@0x924a2,@0x924a2
235#kabuto,0x924ea,@0x924a0,@0x924a0
235#kuwagata,0x924ec,@0x924a2,@0x924a2
236#kabuto,0x924ec,@0x924a0,@0x924a0
236#kuwagata,0x924ee,@0x924a2,@0x924a2
237#kabuto,0x924ee,@0x924a0,@0x924a0
237#kuwagata,0x924f0,@0x924a2,@0x924a2
238#kabuto,0x924f0,@0x924a0,@0x924a0
238#kuwagata,0x924f2,@0x924a2,@0x924a2
239#kabuto,0x924f2,@0x924a0,@0x924a0
239#kuwagata,0x924f4,@0x924a2,@0x924a2
240#kabuto,0x924f4,@0x924a0,@0x924a0
240#kuwagata,0x924f6,@0x924a2,@0x924a2
241#kabuto,0x924f6,@0x924a0,@0x924a0
241#kuwagata,0x924f8,@0x924a2,@0x924a2
242#kabuto,0x924f8,@0x924a0,@0x924a0
242#kuwagata,0x924fa,@0x924a2,@0x924a2
243#kabuto,0x924fa,@0x924a0,@0x924a0
243#kuwagata,0x924fc,@0x924a2,@0x924a2
244#kabuto,0x924fc,@0x924a0,@0x924a0
244#kuwagata,0x924fe,@0x924a2,@0x924a2
245#kabuto,0x924fe,@0x924a0,@0x924a0
245#kuwagata,0x92500,@0x924a2,@0x924a2
246#kabuto,0x92500,@0x924a0,@0x924a0
246#kuwagata,0x92502,@0x924a2,@0x924a2
247#kabuto,0x92502,@0x924a0,@0x924a0
247#kuwagata,0x92504,@0x924a2,@0x924a2
248#kabuto,0x92504,@0x924a0,@0x924a0
248#kuwagata,0x92506,@0x924a2,@0x924a2
249#kabuto,0x92506,@0x924a0,@0x924a0
249#kuwagata,0x92508,@0x924a2,@0x924a2
250#kabuto,0x92508,@0x924a0,@0x924a0
250#kuwagata,0x9250a,@0x924a2,@0x924a2
251#kabuto,0x9250a,@0x924a0,@0x924a0
251#kuwagata,0x9250c,@0x924a2,@0x924a2
252#kabuto,0x9250c,@0x924a0,@0x924a0
252#kuwagata,0x9250e,@0x924a2,@0x924a2
253#kabuto,0x9250e,@0x924a0,@0x924a0
253#kuwagata,0x92510,@0x924a2,@0x924a2
254#kabuto,0x92510,@0x924a0,@0x924a0
254#kuwagata,0x92512,@0x924a2,@0x924a2
255#kabuto,0x92512,@0x924a0,@0x924a0
255#kuwagata,0x92514,@0x924a2,@0x924a2
256#kabuto,0x92514,@0x924a0,@0x924a0
256#kuwagata,0x92516,@0x924a2,@0x924a2
257#kabuto,0x92516,@0x924a0,@0x924a0
257#kuwagata,0x92518,@0x924a2,@0x924a2
258#kabuto,0x92518,@0x924a0,@0x924a0
258#kuwagata,0x9251a,@0x924a2,@0x924a2
259#kabuto,0x9251a,@0x924a0,@0x924a0
259#kuwagata,0x9251c,@0x924a2,@0x924a2
260#kabuto,0x9251c,@0x924a0,@0x924a0
260#kuwagata,0x9251e,@0x924a2,@0x924a2
261#kabuto,0x9251e,@0x924a0,@0x924a0
261#kuwagata,0x92520,@0x924a2,@0x924a2
262#kabuto,0x92520,@0x924a0,@0x924a0
262#kuwagata,0x92522,@0x924a2,@0x924a2
263#kabuto,0x92522,@0x924a0,@0x924a0
263#kuwagata,0x92524,@0x924a2,@0x924a2
264#kabuto,0x92524,@0x924a0,@0x924a0
264#kuwagata,0x92526,@0x924a2,@0x924a2
265#kabuto,0x92526,@0x924a0,@0x924a0
265#kuwagata,0x92528,@0x924a2,@0x924a2
266#kabuto,0x92528,@0x924a0,@0x924a0
266#kuwagata,0x9252a,@0x924a2,@0x924a2
267#kabuto,0x9252a,@0x924a0,@0x924a0
267#kuwagata,0x9252c,@0x924a2,@0x924a2
268#kabuto,0x9252c,@0x924a0,@0x924a0
268#kuwagata,0x9252e,@0x924a2,@0x924a2
269#kabuto,0x9252e,@0x924a0,@0x924a0
269#kuwagata,0x92530,@0x924a2,@0x924a2
270#kabuto,0x92530,@0x924a0,@0x924a0
270#kuwagata,0x92532,@0x924a2,@0x924a2
271#kabuto,0x92532,@0x924a0,@0x924a0
271#kuwagata,0x92534,@0x924a2,@0x924a2
272#kabuto,0x92534,@0x924a0,@0x924a0
272#kuwagata,0x92536,@0x924a2,@0x924a2
273#kabuto,0x92536,@0x924a0,@0x924a0
273#kuwagata,0x92538,@0x924a2,@0x924a2
274#kabuto,0x92538,@0x924a0,@0x924a0
274#kuwagata,0x9253a,@0x924a2,@0x924a2
275#kabuto,0x9253a,@0x924a0,@0x924a0
275#kuwagata,0x9253c,@0x924a2,@0x924a2
276#kabuto,0x9253c,@0x924a0,@0x924a0
276#kuwagata,0x9253e,@0x924a2,@0x924a2
277#kabuto,0x9253e,@0x924a0,@0x924a0
277#kuwagata,0x92540,@0x924a2,@0x924a2
278#kabuto,0x92540,@0x924a0,@0x924a0
278#kuwagata,0x92542,@0x924a2,@0x924a2
279#kabuto,0x92542,@0x924a0,@0x924a0
279#kuwagata,0x92544,@0x924a2,@0x924a2
280#kabuto,0x92544,@0x924a0,@0x924a0
280#kuwagata,0x92546,@0x924a2,@0x924a2
281#kabuto,0x92546,@0x924a0,@0x924a0
281#kuwagata,0x92548,@0x924a2,@0x924a2
282#kabuto,0x92548,@0x924a0,@0x924a0
282#kuwagata,0x9254a,@0x924a2,@0x924a2
283#kabuto,0x9254a,@0x924a0,@0x924a0
283#kuwagata,0x9254c,@0x924a2,@0x924a2
284#kabuto,0x9254c,@0x924a0,@0x924a0
284#kuwagata,0x9254e,@0x924a2,@0x924a2
285#kabuto,0x9254e,@0x924a0,@0x924a0
285#kuwagata,0x92550,@0x924a2,@0x924a2
286#kabuto,0x92550,@0x924a0,@0x924a0
286#kuwagata,0x92552,@0x924a2,@0x924a2
287#kabuto,0x92552,@0x924a0,@0x924a0
287#kuwagata,0x92554,@0x924a2,@0x924a2
288#kabuto,0x92554,@0x924a0,@0x924a0
288#kuwagata,0x92556,@0x924a2,@0x924a2
289#kabuto,0x92556,@0x924a0,@0x924a0
289#kuwagata,0x92558,@0x924a2,@0x924a2
290#kabuto,0x92558,@0x924a0,@0x924a0
290#kuwagata,0x9255a,@0x924a2,@0x924a2
291#kabuto,0x9255a,@0x924a0,@0x924a0
291#kuwagata,0x9255c,@0x924a2,@0x924a2
292#kabuto,0x9255c,@0x924a0,@0x924a0
292#kuwagata,0x9255e,@0x924a2,@0x924a2
293#kabuto,0x9255e,@0x924a0,@0x924a0
293#kuwagata,0x92560,@0x924a2,@0x924a2
294#kabuto,0x92560,@0x924a0,@0x924a0
294#kuwagata,0x92562,@0x924a2,@0x924a2
295#kabuto,0x92562,@0x924a0,@0x924a0
295#kuwagata,0x92564,@0x924a2,@0x924a2
296#kabuto,0x92564,@0x924a0,@0x924a0
296#kuwagata,0x92566,@0x924a2,@0x924a2
297#kabuto,0x92566,@0x924a0,@0x924a0
297#kuwagata,0x92568,@0x924a2,@0x924a2
298#kabuto,0x92568,@0x924a0,@0x924a0
298#kuwagata,0x9256a,@0x924a2,@0x924a2
299#kabuto,0x9256a,@0x924a0,@0x924a0
299#kuwagata,0x9256c,@0x924a2,@0x924a2
300#kabuto,0x9256c,@0x924a0,@0x924a0
300#kuwagata,0x9256e,@0x924a2,@0x924a2
301#kabuto,0x9256e,@0x924a0,@0x924a0
301#kuwagata,0x92570,@0x924a2,@0x924a2
302#kabuto,0x92570,@0x924a0,@0x924a0
302#kuwagata,0x92572,@0x924a2,@0x924a2
303#kabuto,0x92572,@0x924a0,@0x924a0
303#kuwagata,0x92574,@0x924a2,@0x924a2
304#kabuto,0x92574,@0x924a0,@0x924a0
304#kuwagata,0x92576,@0x924a2,@0x924a2
305#kabuto,0x92576,@0x924a0,@0x924a0
305#kuwagata,0x92578,@0x924a2,@0x924a2
306#kabuto,0x92578,@0x924a0,@0x924a0
306#kuwagata,0x9257a,@0x924a2,@0x924a2
307#kabuto,0x9257a,@0x924a0,@0x924a0
307#kuwagata,0x9257c,@0x924a2,@0x924a2
308#kabuto,0x9257c,@0x924a0,@0x924a0
308#kuwagata,0x9257e,@0x924a2,@0x924a2
309#kabuto,0x9257e,@0x924a0,@0x924a0
309#kuwagata,0x92580,@0x924a2,@0x924a2
310#kabuto,0x92580,@0x924a0,@0x924a0
310#kuwagata,0x92582,@0x924a2,@0x924a2
311#kabuto,0x92582,@0x924a0,@0x924a0
311#kuwagata,0x92584,@0x924a2,@0x924a2
312#kabuto,0x92584,@0x924a0,@0x924a0
312#kuwagata,0x92586,@0x924a2,@0x924a2
313#kabuto,0x92586,@0x924a0,@0x924a0
313#kuwagata,0x92588,@0x924a2,@0x924a2
314#kabuto,0x92588,@0x924a0,@0x924a0
314#kuwagata,0x9258a,@0x924a2,@0x924a2
315#kabuto,0x9258a,@0x924a0,@0x924a0
315#kuwagata,0x9258c,@0x924a2,@0x924a2
316#kabuto,0x9258c,@0x924a0,@0x924a0
316#kuwagata,0x9258e,@0x924a2,@0x924a2
317#kabuto,0x9258e,@0x924a0,@0x924a0
317#kuwagata,0x92590,@0x924a2,@0x924a2
318#kabuto,0x92590,@0x924a0,@0x924a0
318#kuwagata,0x92592,@0x924a2,@0x924a2
319#kabuto,0x92592,@0x924a0,@0x924a0
319#kuwagata,0x92594,@0x924a2,@0x924a2
320#kabuto,0x92594,@0x924a0,@0x924a0
320#kuwagata,0x92596,@0x924a2,@0x924a2
321#kabuto,0x92596,@0x924a0,@0x924a0
321#kuwagata,0x92598,@0x924a2,@0x924a2
322#kabuto,0x92598,@0x924a0,@0x924a0
322#kuwagata,0x9259a,@0x924a2,@0x924a2
323#kabuto,0x9259a,@0x924a0,@0x924a0
323#kuwagata,0x9259c,@0x924a2,@0x924a2
324#kabuto,0x9259c,@0x924a0,@0x924a0
324#kuwagata,0x9259e,@0x924a2,@0x924a2
325#kabuto,0x9259e,@0x924a0,@0x924a0
325#kuwagata,0x925a0,@0x924a2,@0x924a2
326#kabuto,0x925a0,@0x924a0,@0x924a0
326#kuwagata,0x925a2,@0x924a2,@0x924a2
327#kabuto,0x925a2,@0x924a0,@0x924a0
327#kuwagata,0x925a4,@0x924a2,@0x924a2
328#kabuto,0x925a4,@0x924a0,@0x924a0
328#kuwagata,0x925a6,@0x924a2,@0x924a2
329#kabuto,0x925a6,@0x924a0,@0x924a0
329#kuwagata,0x925a8,@0x924a2,@0x924a2
330#kabuto,0x925a8,@0x924a0,@0x924a0
330#kuwagata,0x925aa,@0x924a2,@0x924a2
331#kabuto,0x925aa,@0x924a0,@0x924a0
331#kuwagata,0x925ac,@0x924a2,@0x924a2
332#kabuto,0x925ac,@0x924a0,@0x924a0
332#kuwagata,0x925ae,@0x924a2,@0x924a2
333#kabuto,0x925ae,@0x924a0,@0x924a0
333#kuwagata,0x925b0,@0x924a2,@0x924a2
334#kabuto,0x925b0,@0x924a0,@0x924a0
334#kuwagata,0x925b2,@0x924a2,@0x924a2
335#kabuto,0x925b2,@0x924a0,@0x924a0
335#kuwagata,0x925b4,@0x924a2,@0x924a2
336#kabuto,0x925b4,@0x924a0,@0x924a0
336#kuwagata,0x925b6,@0x924a2,@0x924a2
337#kabuto,0x925b6,@0x924a0,@0x924a0
337#kuwagata,0x925b8,@0x924a2,@0x924a2
338#kabuto,0x925b8,@0x924a0,@0x924a0
338#kuwagata,0x925ba,@0x924a2,@0x924a2
339#kabuto,0x925ba,@0x924a0,@0x924a0
339#kuwagata,0x925bc,@0x924a2,@0x924a2
340#kabuto,0x925bc,@0x924a0,@0x924a0
340#kuwagata,0x925be,@0x924a2,@0x924a2
341#kabuto,0x925be,@0x924a0,@0x924a0
341#kuwagata,0x925c0,@0x924a2,@0x924a2
342#kabuto,0x925c0,@0x924a0,@0x924a0
342#kuwagata,0x925c2,@0x924a2,@0x924a2
343#kabuto,0x925c2,@0x924a0,@0x924a0
343#kuwagata,0x925c4,@0x924a2,@0x924a2
344#kabuto,0x925c4,@0x924a0,@0x924a0
344#kuwagata,0x925c6,@0x924a2,@0x924a2
345#kabuto,0x925c6,@0x924a0,@0x924a0
345#kuwagata,0x925c8,@0x924a2,@0x924a2
346#kabuto,0x925c8,@0x924a0,@0x924a0
346#kuwagata,0x925ca,@0x924a2,@0x924a2
347#kabuto,0x925ca,@0x924a0,@0x924a0
347#kuwagata,0x925cc,@0x924a2,@0x924a2
348#kabuto,0x925cc,@0x924a0,@0x924a0
348#kuwagata,0x925ce,@0x924a2,@0x924a2
349#kabuto,0x925ce,@0x924a0,@0x924a0
349#kuwagata,0x925d0,@0x924a2,@0x924a2
350#kabuto,0x925d0,@0x924a0,@0x924a0
350#kuwagata,0x925d2,@0x924a2,@0x924a2
351#kabuto,0x925d2,@0x924a0,@0x924a0
351#kuwagata,0x925d4,@0x924a2,@0x924a2
352#kabuto,0x925d4,@0x924a0,@0x924a0
352#kuwagata,0x925d6,@0x924a2,@0x924a2
353#kabuto,0x925d6,@0x924a0,@0x924a0
353#kuwagata,0x925d8,@0x924a2,@0x924a2
354#kabuto,0x925d8,@0x924a0,@0x924a0
354#kuwagata,0x925da,@0x924a2,@0x924a2
355#kabuto,0x925da,@0x924a0,@0x924a0
355#kuwagata,0x925dc,@0x924a2,@0x924a2
356#kabuto,0x925dc,@0x924a0,@0x924a0
356#kuwagata,0x925de,@0x924a2,@0x924a2
357#kabuto,0x925de,@0x924a0,@0x924a0
357#kuwagata,0x925e0,@0x924a2,@0x924a2
358#kabuto,0x925e0,@0x924a0,@0x924a0
358#kuwagata,0x925e2,@0x924a2,@0x924a2
359#kabuto,0x925e2,@0x924a0,@0x924a0
359#kuwagata,0x925e4,@0x924a2,@0x924a2
360#kabuto,0x925e4,@0x924a0,@0x924a0
360#kuwagata,0x925e6,@0x924a2,@0x924a2
361#kabuto,0x925e6,@0x924a0,@0x924a0
361#kuwagata,0x925e8,@0x924a2,@0x924a2
362#kabuto,0x925e8,@0x924a0,@0x924a0
362#kuwagata,0x925ea,@0x924a2,@0x924a2
363#kabuto,0x925ea,@0x924a0,@0x924a0
363#kuwagata,0x925ec,@0x924a2,@0x924a2
364#kabuto,0x925ec,@0x924a0,@0x924a0
364#kuwagata,0x925ee,@0x924a2,@0x924a2
365#kabuto,0x925ee,@0x924a0,@0x924a0
365#kuwagata,0x925f0,@0x924a2,@0x924a2
366#kabuto,0x925f0,@0x924a0,@0x924a0
366#kuwagata,0x925f2,@0x924a2,@0x924a2
367#kabuto,0x925f2,@0x924a0,@0x924a0
367#kuwagata,0x925f4,@0x924a2,@0x924a2
368#kabuto,0x925f4,@0x924a0,@0x924a0
368#kuwagata,0x925f6,@0x924a2,@0x924a2
369#kabuto,0x925f6,@0x924a0,@0x924a0
369#kuwagata,0x925f8,@0x924a2,@0x924a2
370#kabuto,0x925f8,@0x924a0,@0x924a0
370#kuwagata,0x925fa,@0x924a2,@0x924a2
371#kabuto,0x925fa,@0x924a0,@0x924a0
371#kuwagata,0x925fc,@0x924a2,@0x924a2
372#kabuto,0x925fc,@0x924a0,@0x924a0
372#kuwagata,0x925fe,@0x924a2,@0x924a2
373#kabuto,0x925fe,@0x924a0,@0x924a0
373#kuwagata,0x92600,@0x924a2,@0x924a2
374#kabuto,0x92600,@0x924a0,@0x924a0
374#kuwagata,0x92602,@0x924a2,@0x924a2
375#kabuto,0x92602,@0x924a0,@0x924a0
375#kuwagata,0x92604,@0x924a2,@0x924a2
376#kabuto,0x92604,@0x924a0,@0x924a0
376#kuwagata,0x92606,@0x924a2,@0x924a2
377#kabuto,0x92606,@0x924a0,@0x924a0
377#kuwagata,0x92608,@0x924a2,@0x924a2
378#kabuto,0x92608,@0x924a0,@0x924a0
378#kuwagata,0x9260a,@0x924a2,@0x924a2
379#kabuto,0x9260a,@0x924a0,@0x924a0
379#kuwagata,0x9260c,@0x924a2,@0x924a2
380#kabuto,0x9260c,@0x924a0,@0x924a0
380#kuwagata,0x9260e,@0x924a2,@0x924a2
381#kabuto,0x9260e,@0x924a0,@0x924a0
381#kuwagata,0x92610,@0x924a2,@0x924a2
382#kabuto,0x92610,@0x924a0,@0x924a0
382#kuwagata,0x92612,@0x924a2,@0x924a2
383#kabuto,0x92612,@0x924a0,@0x924a0
383#kuwagata,0x92614,@0x924a2,@0x924a2
